,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,steamid,num_games_owned,num_reviews,playtime_forever,playtime_last_two_weeks,playtime_at_review,last_played,appids
10,117216403,english,Immersive Sim/RPGs along with the recent boomer shooter trend of games that take old school fundamentals and combines them with modern ideas and surrealist aesthetics are the future of games that I'm interested in,1655610302,1655610302,True,5,0,0.587037324905395508,0,True,False,True,76561198033031479,514,3,353,353,167,1655684726,1574240.0
11,117141760,english,"I want to start off by saying that while I do not recommend this game, I want to see it succeed very badly. I've been excited for this game for a while now and I can't wait to see where it goes.

The visual style is beautiful with obvious inspirations such as TESIII Morrowind and a personal favorite of mine Arx Fatalis. The retro-style graphics options are a nice bonus and nicely give an old school feeling without feeling like too much or looking like lazy filters. The UI is crisp and compliments the PSX aesthetic nicely. Inspirations aside, it appears that Lovely Hellplace has done a great job at creating their own complex and interesting weird fantasy world.

The majority of gripes I've experienced are concerned with gameplay. When I think of great open world RPG's the favorite ones that come to mind incorporate freedom as early into the game as possible while allowing for seamless optional tutorials. For example: In TESIV Oblivion you quickly escape the sewers and are welcomed into a large open world that is fully explorable. BUT, when you are let out into the world the devolopers point the character straight to a small dungeon that is completely optional but the player is enticed to go there since it's already straight ahead and so close. In New Vegas you leave Doc Mitchell's house and can go wherever you would like. Many players go without realizing that Goodsprings is an optional tutorial disguised as part of the open world. These types of beginnings in games allow for significantly cleaner replayability allowing the player to choose if they want to complete that first Ayelid ruin, Goodsprings, or Seyda Neen. Dread Delusion felt as though it was going that direction and nearly has it nailed barring a few things. It would be great have other options of escaping from the initial island as it would help demonstrate how different options are always available. Perhaps smuggling yourself off of the island somehow? Maybe you forge a pass to get over the barred bridge? Find someone on the island willing to barter for a pass? There's so much potential with the start of the game I would love to see fleshed out.

The combat so far is not great. dodging is fairly useless as sprinting backwards to strafe and kite enemies is significantly more effective. The use of stamina in this game is not good. You're maximum stamina decreases it's size the more you use it. The only way to get it back is by resting. On paper it doesn't sound that bad until you realize your stamina bar is cut in half after defeating a single enemy. I won't dwell on this topic that much as I've already read a post that a developer replied to stating they are looking into improvements to the stamina system. Magic is unfortunately significantly weaker than melee. In my playthrough I put as many points as possible into making an optimal spellcaster and found that a missile spell that takes a chunk of MP did less damage to the games weakest enemy than a single sword swing with an empty stamina pool. This realistically means that if you want to have fun right now your best bet is to ignore your stamina bar and kite enemies with a melee build. I personally find that kiting enemies in melee is actually pretty fun, I just want there to be other optimal options to choose from for spellcasters. I did not play around with the stealth system so I have no comments on it. However, lockpicking is not very fun as it relies on dice rolls that are additional influenced by your main attributes and lockpicking. It would be far more fun and engaging to have a lockpicking minigame even if it's a rudimentary one.

Dread Delusion is in need of a sound overhaul. Ambient sounds are minimal with the few I've heard only being noticed while in bushes. Having more ambient noises to compliment the beautiful visual design would vastly improve immersion with the game world. Other sounds effects being added would be nice such as a sound for unsheathing your weapon, interacting with many game world objects, footsteps, heavy breathing at low stamina/exhaustion, one-liner dialogue when interacting with npc's (not full voice acting), player character grunting upon receiving heavy damage, etc.

There are of course bugs as with any early access release but I did not experience anything game breaking enough to warrant creating a new save file. The most irritating bug I experienced was an enemies model turning invisible during combat and having to fight them based on audio and their floating weapon.

Dread Delusion shows extreme promise and I have no doubt that the developers at Lovely Hellplace will be working hard at making their vision a reality. The developers are already answering numerous questions in the steam community so they clearly are taking input to heart. Unfortunately, as of now the game is not worth $20 and I think they should have released just the tutorial island as a free demo before releasing the game into early access. I will be coming back to this game in the future and will update this review as time goes on.",1655493766,1655493766,False,14,0,0.581450402736663818,0,False,False,True,76561198042376299,275,3,69,69,69,1655490833,1574240.0
12,117049208,english,"Overall, the concept is really amazing! I love the look and feel of the atmosphere. Everything about it feels like a fresh take. It definitely still feels like Early Access, and there are for sure mechanics that need tweaks. 
I love how intuitive the combat feels; you can physically dodge attacks and wait for openings, and that feels really nice. I haven't gotten a taste of the magic yet, unfortunately, though from the spell I saw in the store, it looks to be set around creativity, and that's always a good thing. Crafting items feels amazing so far. And talking to people is great; the dialogue is fairly organic and feels good to read through.
There are a couple things that could use a bit of adjustment. Fatigue seems to happen really fast; I like that it's a core mechanic, and I love that excessively using your stamina drains your max stamina, but it's pretty difficult to maintain at current level. I also feel like movement is a tad slow?
Again, definitely still an EA title, and hopefully the devs see this review. But overall? If they can deliver this game with some QOL features, it will be a solid experience and easily worth $20.",1655340541,1655340541,True,7,0,0.574468076229095459,0,True,False,True,76561198121431442,563,2,45,45,45,1655339641,1574240.0
13,117051252,english,"This game is definitely scratching my itch for games like Morrowind. It has a lot of fantasy weirdness to explore and discover, while also being much more accessible than the early 2000s games. 

The game is still in Early Access, but the devs seem to be pretty involved, responding to questions in the discussions and on Discord, so I have great hope for the future of this game. I'm also glad the devs decided to include quite a few options to prevent motion sickness like the FOV slider. 

Overall it's definitely worth getting. The game seems to have a lot of content already and the foreshadowed updates seem to be quite interesting. Definitely a must-have for all old The Elder Scrolls fans.",1655344618,1655344618,True,5,0,0.571782708168029785,0,True,False,True,76561198074556633,186,9,140,140,108,1655377598,1574240.0
14,117228799,english,"Amazing, bizarre open world with corpses, metal flowers and mushrooms as flora. In the world where gods straight up disappeared You try to puzzle together what's good and what's bad. Lost in place haunted by its past You try to change the faith of many. What will You do?
The graphics remind me of ps1 era and I personally like that, it suits the atmosphere and has some kind of nostalgic touch.
Gameplay-wise it's simple and require more work to be done around it but You can just spam speed spell and jump across the map which is cool.
 I'd gladly recommend it but pay attention to the fact it's early access so it lacks content for more than 8h. It has some bugs like text not being displayed correctly, getting stuck in some places(This damn window), npcs being in locations they're not suppose to be anymore and this damn guy that refuses to be persuaded. 
There is reputation system but it's not fully used yet and also character attributes are limited, same with weapons and armors. 
If You're fine with waiting for more content You can get it now...if not than just wishlist and get it later.",1655632430,1655632430,True,4,0,0.566351473331451416,0,True,False,True,76561198036891516,446,24,678,678,678,1655584350,1574240.0
15,117048560,english,"It's a pretty good game. Granted, it's in early access, so there are some bugs here and there, but this already shows a lot of potential.

If you like old rpgs, this is for you.",1655339202,1655339202,True,4,0,0.55911332368850708,0,True,False,True,76561198085979609,885,42,165,165,121,1655347513,1574240.0
16,117084723,english,"Ever play an Elder Scrolls game and thought ""This would be better if the game itself took a bunch of acid""

Well yeah, it is better.",1655402642,1655402642,True,2,0,0.54811561107635498,0,True,False,True,76561198015898660,531,26,83,104,70,1655789012,1574240.0
17,117055014,english,"I instantly fell in love with this game the moment I saw it pop up in my recommendation. The retro graphics, effects, and atmosphere melding together with surreal imagery and Lovecraftian horror makes for a strong visual foundation that itches my brain for exploring a lost forgotten game that was made back in the 90’s only for me to find in an attic 30 years later. I only recently started following the development for this project and the love and care that James Wragg to convince the player this is a living, breathing place of exploration and combat is inspiring. I’m highly anticipating this game’s full release, which is why I want to write this review to offer as much feedback as I can from my first experience to help this game grow to its fullest potential. This review may have some spoilers for events that happen in the game, so I will try my best to hide as much as possible that relates to a story, or just a cool moment I had.

I was engaged the moment [spoiler]I opened the cell doors to[/spoiler] begin my adventure in this bizarre colorful world. Though as I kept playing, I kept repeating the same statement over and over to myself when interacting with certain mechanics, which brings me to my first category of this review.

[h1]“Why won’t it just work?”[/h1]
As of 6/15/2022 I only have 3 hours in this game, and it’s very telling this is an early access release that has a lot of work needed to be completed. The foundation for a dynamic yet simple RPG elements are there but the cracks start to fold in when mechanics don’t really work as intended.

NPC do not follow you when asking them to follow you. They stand in place like a statue with no way to get them in gear.

Most, if not all hostile humanoid NPCs I interacted with do not move when attacked. They stand perfectly still and swing their weapons when I get close. The only ones that did move were surprisingly the bow and arrow bandits. 

All the monsters and non-human characters moved just find without any problem.

The Compass doesn’t work, and I was so sad when I sank my hard-earned gold into it just for the red needle not to move an inch.

Combat music for the first hour of the game was looping even when I wasn’t in combat. I had to mute the game’s music since it was so repetitive. It eventually stopped looping once I turned the music back on, but that lost me a lot of the immersion when settling into the world.

As of 6/15/2022 , those are the only notable bugs I encountered that breaks the games flow. These bugs were not frustrating, but more so a reminder that this is an indie game made by an individual and not a studio. Not everything is going to be perfect, and to demand perfection at this stage is not fair. However, there are a few questionable game mechanics in early game that slowly became a drag the longer I played. 
Which leads me to the next chapter:

[h1]“Fatigue is a drag and is not executed well early game.”[/h1]
Fatigue in this game is when your character gets physically tired resulting in attributes decreasing and your skills weakening. It’s harder to swing your sword, lockpick doors and chests, and speak to strangers using your charm. The longer you go without sleep and continue to drain fatigue by running, jumping, and attacking, the worse your stats get. Sleeping restored all stats and attributes just as expected. This mechanic was a welcome one in my first few hours of the game. It meant my character would need to find local inns, taverns, and cities to refuge at and gave me a reason to come back in to towns to check out shop items and see if there are new quests and secrets I missed. However, without knowing about [spoiler]Stamina potions[/spoiler] , you are completely reliant on [spoiler]spending mana to teleport to your last save point with the “hearthstone” spell you acquire in the first minutes of the game, which hopefully you set as the Wobblin Noggin inn since that is the only bed I was able to find after 3 hours of gameplay, then spending 2 coins each time you run out of fatigue and are forced to stop everything you was doing to go rest up if you are out of fatigue[/spoiler]. I assumed with a sleep mechanic I’d be able to stay in other’s beds, or abandoned beds that were left in the rubble of buildings. But none of the beds are interactable except for the one at the tavern. 

This becomes a non-issue later as you learn about [spoiler]Alchemy[/spoiler] and the ability to use the [spoiler]Academy’s teleporter system[/spoiler] , but having to pause everything you’re doing just to teleport back somewhere to pay 2 coins to refill a meter just to return back to that same spot to have enough charisma to talk to someone is… incredibly frustrating and time wasting. I hope that the Fatigue system is reworked or removed for something more traditional to depleting stamina. I am not a game designer and would not know a better replacement for such systems, but this was a big downer when trying to complete quests that required charm to progress early in the game’s beginner phase.

This game is early access. It is meant to be buggy right now because it’s a sneak peak at what’s to come. Despite the previously mentioned concerns above, I thoroughly enjoyed this game’s opening, the quests, and the world building revolved around it, and I can’t wait to play more when I get the chance. If you have the money to spare, PLEASE check out this game! The $20 price is worth it, and the value only grows as the game updates and receives all the fixes it deserves.

[b]I wish you good luck James Wragg![/b]
",1655352431,1655352431,True,5,0,0.545454561710357666,0,True,False,True,76561198063152319,191,6,574,574,183,1656045194,1574240.0
18,117421550,english,"I really like the idea of a non bethesda made first person rpg existing, and I like the artstyle and atmosphere of this game a lot, but there is a ton holding me back from appreciating this game in its current form, especially if it seems to explicitly hold as an aim capturing what makes those games compelling.

- The map is terrible. I know oldschool games had bad maps, but they were an accidental not essential component of them. In a game awash with misshapen technicolor mishmash, not having any way to concretely pin down locations or landmarks and your position relative to them is incredibly painful.

- I am not properly encouraged to engage with the world in any way other than vague quests or immediately visible collectibles. I understand wanting to make combat avoidance a viable way of progressing, but removing combat having any benefit at all, and making it so lockpicking, lore interactions, sneaking about etc. all do absolutely nothing, means I'm playing this game less like an open world arpg and more like Banjo Kazooie. 
The only way to progress is to collect Jiggies, and this is not fun both because it doesn't fit the game's intended playstyle and because I have no idea where they are other than ones I am apparently permanently content locked out of by not picking different stats.

- Combat is barebones, it's like modded daggerfall in a bad way. I circlekite and wait for space, then hit the enemy once or twice. Especially considering even the most basic enemies take 10+ hits, and I in no way improve in combat efficacy by fighting them, this makes the combat a chore. Yes there are charge attacks, and they do pretty much the same damage. There's simply not enough here to make it compelling, and as of yet no area I've encountered actually permits stealth combat as opposed to just stealth avoidance.

So this becomes my game experience thus far: 

I find myself aimlessly wandering around a mapless mishmash of color, making absolutely no progress of any kind regardless of how I interact with it. The world is bereft of cities, ruins, or locales, but merely has point of interest 'nodes' specked every so often. 

I come upon a POI node tower with a drunk soldier in it, my charisma check is too low to let me access the Jiggy held in the locked room below. The room is unlockpickable of course, and you are not allowed to kill or pickpocket him to get the key as characters don't have inventories and he's invincible for some reason. I make no progress and leave.

I begin wandering aimlessly again, I find another POI node with a wheelchair bound man with memory issues in it. There is a locked door upstairs that can only be opened by having enough book smarts to tug on candlesticks, meaning I can never access the precious Jiggy inside.
I go outside to a pillar and remember the man mentioning in bold that the pillar was made by people who hide things with illusion magic. I drink my truth seeing potion that specifically mentions that it interacts with such things that I found near a random lake nearby for absolutely no reason. Drinking the potion causes no changes to the pillar, it continues to not be interactable, but the sky changes color. The limited edition potion fades and the sky changes back. I make negative progress by wasting the potion and leave.

I come upon another POI node that is a tall tower with a Jiggy in the bottom again. The door at the bottom is unlockpickable as it is apparently barred from the inside. I prepare to leave, but then notice I might be able to get inside the top. I use my typically useless high agility stat to get 0 EXP by jumping up to a ledge to let me access the upstairs. Inside are three macguffins that require the lore stat to interact with, and no way of accessing the bottom of the tower with the Jiggy in it. I make no progress and leave.

I come upon a POI node with a wizard that has made several terrible spells and can't get into magic school. He tells me you need a letter of recommendation to get in. I get a quest telling me that people who can give letters of recommendation exist. Very oldschool, very cool. I make no progress and leave.

I visit what I vaguely remember is the lake area where I got the forbidden potion of truth seeing that did absolutely nothing at the designated use a truth seeing potion location. 
I decide to fight the giant version of a smaller enemy that lives there. After 10 minutes of waiting till he attacks then getting singular hits in, I get 0XP and he drops nothing. A notification appears onscreen telling me that Goblins, who already attack on sight, hate me more than usual now because I killed one of them that was big. I make negative progress and leave.

I do what I assume is backtracking but have no way to tell. I come upon a gap in two big rocks with an atheist soldier wandering about. He says I'm not cool enough to follow me around. I make no progress and leave.

I return to the POI node with drunk soldier inside, I have gained ore from somewhere now and want to try interacting with the previously useless furnace inside. The ore I have sucks and doesn't do anything. I make no progress and leave.

I wander aimlessly again. I continue to find arrows endlessly but no bow. I continue making no progress as nothing is lockpickable. I accidentally or on purpose retrace my steps constantly in a visually aggressive hellscape with no functioning map. I have not collected one single Jiggy aside from the one they use to explain what Jiggies are, I recall that I have not accomplished a single meaningful game act since the tutorial ended with the white haired lady saying my stat-penis was too small for me to be her sex slave. I turn off the game and cry.",1655923597,1656015659,False,6,2,0.539686083793640137,0,True,False,True,76561198012825255,566,33,149,149,149,1655928640,1574240.0
19,117188559,english,"I like it but it needs some work:

- Combat is very lack luster, could use some polish and refinement 
- Some items just, do not work. Like the compass doesn't actually function.
- some odd design choices here and there but-

It's okay. Story is interesting & unique. For an early access title, not bad. But not good. 
Potential is there.


EDIT: So the same day I posted this - the developer(s) fixed the compass bug.... immaculate timing lmao",1655568807,1655610210,True,3,0,0.539267003536224365,0,True,False,True,76561198082928668,532,178,20,20,13,1656000108,1574240.0
20,117043622,english,"Edit: 11 hours and most of the available content later... yeah, it's still good. A sentient lump of flesh gave me an existential crisis, 10/10. 

A wonderfully weird mix of King's Field and classic Elder Scrolls, with a bit of Lovecraft/Cronenberg and a PSX aesthetic dashed in for flavor. 

[strike]I haven't spent much time in the early access release yet, but the demo I played way back when was excellent, and I can't wait to dive into the weird world of Dread Delusion.[/strike] If you enjoy mid-90's styled action RPGs, I think this will be right up your wobbly-textured alley.

The game starts fairly linearly, but after the initial introduction (roughly half an hour or so?), the map opens up significantly. You'll come across towns, merchants, NPCs, skill checks, and quests aplenty. There's a surprising amount of lore to the world, and a fairly straight-forward leveling system.

All-in-all, absolutely worth the $20 price if retro action RPGs and strange, almost alien, worlds are your thing.",1655329450,1655772985,True,41,0,0.789900243282318115,0,True,False,True,76561198010586084,439,8,914,914,714,1655990197,1574240.0
21,117130415,english,"Dread Delusions borrows ideas from many classic RPGs and blends them up into something lighter, more digestible for a modern audience. It’s like The End of Dyeus, but focused more on being an Elder Scrolls like. It might look like Morrowind, but it only has the depth of something like Skyrim. You wake up as a prisoner and quickly learn that most factions in the game are disliked. That being said the game world is incredibly engrossing and I enjoyed scouring each floating island for delusions, the things that level you up. However, that brings me to my one real complaint about the game so far – it’s incredibly shallow as of right now in Early Access. The gameplay loop is simple - seeing a building on the horizon, killing or sneaking past enemies on your way to the building. Then killing something in the building, charming someone in the building, or using lore to use switches. Then upstairs or downstairs there’s a delusion and a chest containing some sort of monitory loot. Of course, this doesn’t apply to every house or tower in the game, but it’s a majority of them. Later in the game you find yourself looking for ore to upgrade your armor and weapons, and some NPCs hint that you should check out the mines that dot the countryside. You get excited to explore some abandoned mines – only find out that they’re just a hallway and a single room with no enemies that sometimes spawns ore. It’s a great game world that just doesn’t have a lot of variation of activities right now. Still, these are minor complaints that I hope are addressed in later areas. It’s a good game, and I’m excited to see where it goes.",1655479051,1655479051,True,19,0,0.730408966541290283,0,True,False,True,76561197972347621,792,81,402,402,251,1656011361,1574240.0
22,117155892,english,mmm 400 year old ghoul told me the history of anti religious rainbow knights 10/10,1655516014,1655516014,True,24,10,0.7227935791015625,0,True,False,True,76561199106895647,145,1,295,295,188,1655546879,1574240.0
23,117106950,english,"Weird ethereal blend of HP Lovecraft, Berserk following the Eclipse, The Elder Scrolls II Daggerfall, Morrowind, Arx Fatalis and King's Field. If that appeals to you, buy it now because I highly recommend it. I'm just barely scratching the surface of the game but it's huge and there's a lot to do and a lot of ways to do it.",1655437400,1655437400,True,12,0,0.6445884108543396,0,False,False,True,76561197971233997,1482,41,119,119,90,1655438615,1574240.0
24,117185364,english,"This game currently has bugs, 6-8 hours of content and is far from finished, yet I recommend it very highly. The content that is there is great, animations have alot of charm and the world is fantastic. Even with the little content there is I would say it is WELL worth the asking price, amazing gem which is only gonna get better.",1655564683,1655564683,True,8,1,0.632915258407592773,0,True,False,True,76561198047769151,706,43,292,292,196,1655637430,1574240.0
25,117043238,english,"Loving it so far, the art direction, style, and music is 10/10.  It's also kinda nice seeing an RPG like this rather than a boomer shooter.  I think the combat is a bit iffy, as it seems circling around and spamming left click gets the job done easily.  But i think the overall experience so far is great, i very very much look forward to see where this game goes :)",1655328828,1655328828,True,13,0,0.620210945606231689,0,True,False,True,76561198004439287,665,18,310,310,28,1655948833,1574240.0
26,117078745,english,"I have waited 2 years for this and on release it's not disappointed me. Plenty of places to explore, quests to do and people to speak to to keep you occupied for a while. A bit buggy (I've had an NPC just say 'text1, text2, text3 to me and a few speech options are command strings) but that's expected with early access. Excited for future updates. :)",1655395074,1655395074,True,9,1,0.616145133972167969,0,True,False,True,76561198131724749,197,23,637,637,393,1656031924,1574240.0
27,117048345,english,"There's clearly a lot here even without the game being fully finished. The tutorial aspects are kept short and sweet and although the game gives you loose directions on where to go next, you have a lot of freedom after getting the ability to enter new islands, which really help with promoting player exploration of the world. Systems I've encountered so far are kept relatively basic, which I think works in favor of what the game is aiming to be. 

Controls are a bit unconventional but a quick read of the controls settings and its very easy to understand and or rebind. I think this is still a good thing, because the game is clearly trying to be older in style. 

Combat is very straight forward, but I don't think it has to be this grand spectacle. Spells and potions are fun to use and provide enough variety that it stays engaging enough. And the ability to upgrade weapons and armor is a nice touch.

Quests are interesting and unique so far with characters being personally tied to the quests they give you and are fun little stories, and so far the lore of these islands is really interesting and the unique environments and contraptions you can find provide a lot of wonder as to what is happening. Shops are also really neat and each of them fit their roles. Leveling up the skills provides a direct correlation to whatever you want to be best at, which works very well. 

Overall I am really looking forward to how this game progresses and still have a lot to do in my current save, from what I can tell i'm just getting started with whats in the game currently. I hope the devs can continue to update, add and bring improvements to what is already here.",1655338742,1655340184,True,12,0,0.604656994342803955,2,True,False,True,76561198078732976,597,13,93,93,80,1655340524,1574240.0
28,117135218,english,"Yes yes yes. Please make this a trend, the more morrowind esque games that will be made the merrier. The lore in this game and the world is very unique and i love it",1655485112,1655485112,True,5,0,0.598379909992218018,0,True,False,True,76561198127467468,892,51,70,70,70,1655485038,1574240.0
29,117051082,english,"Visually this game is downright inspired, a 10/10 in the visual department without a doubt. A surreal nightmare world that is just breathing with character and depth, I mean you can see in the previews how this game looks, fantastic. I called it a sort of midquel between Daggerfall and Morrowind, the sort of older style of Daggerfall but the inspiration and alien world of Morrowind.

The gameplay is fun but simple, spells are super interesting, combat is dodging based, physically moving yourself around enemies attacks as you jump back in to try and land another hit.

The lore and world are very very interesting, like genuinely so unique and fun. A world where a god-hating Inquisition rules that have deemed religion heresy. There is so much beneath the surface to discover as well, and everytime I entered a new location something new was there to suck me in. The world itself reminds me a lot of the excellent game Blasphemous.

There are many quests I've already come across in such a short amount of time, and even guilds! 

This is shaping up to be an amazing game and I'm going to be looking forward to every new update with bated breath.",1655344261,1655418970,True,11,0,0.58890235424041748,0,False,False,True,76561198080762628,622,156,132,132,122,1655421013,1574240.0
30,117216403,english,Immersive Sim/RPGs along with the recent boomer shooter trend of games that take old school fundamentals and combines them with modern ideas and surrealist aesthetics are the future of games that I'm interested in,1655610302,1655610302,True,5,0,0.587037324905395508,0,True,False,True,76561198033031479,514,3,353,353,167,1655684726,1574240.0
